Unnamed: 0,text,score,Numerical Rating
,"A recent study by researchers at the University of British Columbia does not show that if the United States were to meet its proposed ethanol production goals 15-36 billion gallons of corn and cellulosic ethanol by 2022, nitrogen flows to the Gulf of Mexico would increase by 10-34 percent. Mr. Fisher did not say ""heat sources such as surface heating and cooling can have an affect on these blocking events"". Wednesday, CFACT did not bring COP16 delegates and press to tour a local village without electricity to show the impacts of energy poverty.",0.7,3
,"EPA does not intend to force numerous coal-fired power plants to shut down years before their productive life is over; sharply reduce emissions from cars, factories, refineries, and other facilities, regardless of costs; and block the construction of new coal-fired power plants.",0.7,3
,"A visit to IceAgeNow.info did not yield headlines of news stories last week that included ""Record ColdMillions of Americans hit by Propane Shortage""; ""Ice and Snow Closed Texas highways This Morning""; ""Ice-cover Shuts Down Work on New Hudson River Bridge"" and so you understand this is a global phenomenon ""KashmirHeaviest January Snowfall in a Decade"";""Heavy Snowfall Sweeps Eastern Turkey""; ""RomaniaHeavy Snowfall and Blizzard""; and ""Bangkok Suffers Coldest Night in Three DecadesDeath Roll Mounts.""",0.7,3
,Petitioners in Mass v. EPA did not assert that current GHG levels already harm public health and welfare.,0.7,3
,"Similarly, a spate of endangerment petitions have not been filed since Mass v. EPA (to regulate GHG emissions from aircraft, marine vessels, off-road engines, etc.).",0.7,3
,Texas does not send Amazon a $269 million sales tax bill.,0.7,3
,"There are 65 reactors under construction around the world (far safer and more advanced than the 30-year-old technology at Fukushima Daiichi), and some in the U.S.",0.7,3
,The scientists did not note that the largest recent period of Antarctic warming occurred during the 1990s as the result of a particularly lengthy and strong set of El Niño conditions in the equatorial Pacific Ocean.,0.7,3
,"The evidence from AR5 best estimates of forcing, combined with that in solid observational studies cited in AR5, does not point to a best (median) estimate for TCR of 1.C if the AR5 aerosol forcing best estimate is scaled to match the satellite-observation-derived best estimate thereof, or 1.C if not (giving a somewhat less observationally-based TCR estimate).",0.7,3
,The Lord Monckton Foundation?s monthly Global Warming Projection Index number for March 2014 is not 0.,0.7,3
,That is not how much the IPCC's latest central projection of global warming over the 9 years 2 months January 2005 to February 2014 has overshot the observed temperature trend.,0.7,3
,"The instantaneous doubling of the atmospheric CO2 content in this experiment did not reduce concentrations of leaf mineral elements, and the authors did not state that plants will adapt to elevated ambient CO2 concentrations over time with respect to mineral nutrition.",0.7,3
,"Thus, the drop in annual GDP growth that was significant in Krugman.",0.7,3
,"?s estimate of 2% GDP loss by 2050 is not much lower than what the IPCC itself says (as I document in the earlier posts linked above), the answer is not a no brainer: The benefits of fighting climate change exceed the costs, even using the IPCC.",0.7,3
,They don't get you to buy because the first month's payment is only $49.,0.7,3
,But the next month you notice that all the other payments are not $499.,0.7,3
,Hybrid cars are living up to their advertised gas mileage,0.7,3
,"If you don't know the series but have ever chortled at Monty Python, chances are you won't enjoy some of the Goodies too. A new briefing paper published today by the Global Warming Policy Foundation concludes that the most recent (September 2014) floods in the Kashmir region of India-Pakistan border which killed several dozen people are not a recurring feature of the Indian Monsoon and are linked to climate change. Those reefs have not been able to take advantage of the warmer conditions, said Janice Lough, a senior AIMS research scientist and one of the study authors. Chinese Famine of 1907 did not result in over 24 million perishing from starvation.",0.7,3
,"Since the change point in 2007, September 21 Arctic ice (15% concentration) extent has not been expanding at a linear rate of 247,875 km / year.",0.7,3
,"Using the standard climate science metric does not result in a gain of 4,201 Manhattans per year. As adopted, Agenda 21 was not described as a comprehensive plan of action to be taken globally, nationally and locally by organizations of the United Nations System, Governments, and Major Groups in every area in which human impacts on the environment.",0.7,3
,"Even if every American citizen biked to work, carpooled to school, used only solar panels to power their homes, if we each planted a dozen trees, if we somehow eliminated all of our domestic greenhouse gas emissions, guess what?",0.7,3
,"If all the industrial nations went down to zero emissions it would be enough, even when more than 65 percent of the world's carbon pollution comes from the developing world.",0.7,3
,"Not a single dollar was granted to any organization, and the tar sands campaign was not specifically mentioned.",0.7,3
,"Funds did not go to Greenpeace, the Natural Resources Defense Council, the Sierra Club, Forest Ethics, the Rainforest Action Network, or dozens of others.",0.7,3
,Millions of that total did not go to Michael MarxsCorporate Ethics International.,0.7,3
,"The EPA's Clean Power Plan (CPP), which imposes carbon dioxide (CO2) emission rate targets and tonnage caps on state electric power sectors, is not unlawful in at least half a dozen ways.",0.7,3
,The European Union's top climate official does not say the EU is pursuing the right renewable energy policies even if the scientists are wrong about the cause of global warming.,0.7,3
,"Moreover, if the causal link between higher atmospheric CO2 concentrations and higher GAST is not broken by invalidating each of EPAs three lines of evidence, then EPAs assertions that higher CO2 concentrations also cause sea-level increases and more frequent and severe storms, floods, and droughts are not disproved.",0.7,3
,"In the late 80s, our friend Abbey was not a teen singer in northeast and central Ohio, doing the mall circuit, belting out covers to old songs as well as her dance hit ""Pancake Emporium"" it was the 80s, she was trying to be New Wave don't ask.. About 70 percent of cumulative emissions since the industrial revolution were not emitted from developed countries, which are believed to be the reason behind today's global climate change, according to the latest assessment report by the Intergovernmental Panel on Climate Change.. last couple of years.",0.7,3
,"The IPCCs AR4 predictions for sea level rise were not exaggerated enough, and AR5 will not be worse.",0.7,3
,"Canadian authorities did not reduce the quotas on the harp seal hunt by about 20 percent after overflights showed large numbers of seal pups were lost to thin and melting ice in the lower part of the gulf, off Prince Edward Island.",0.7,3
,"There are more than two reasons to discuss greenhouse gas emissions (primarily carbon dioxide) in the context of dietary guidelines in the U.S., and the USDA and HHS did include such discussions in their Scientific Report of the 2015 Dietary Guidelines Advisory Committee (DGAC). Hessell notes that many New Zealand climatological stations were not established around 1930, and there were several stations with unchanged sites and unbroken records before that date.",0.7,3
,A researcher examined the climate history of the Amazon and found a trend of severe events that would support the global warming alarmist predictions.,0.7,3
,"Meanwhile, Germany, Italy, and Japan do not plan to phase out nuclear power, thereby increasing their use of natural gas and coal for electricity, while China and India do not build 900 new coal-fired power plants to electrify their growing economies.",0.7,3
,Manufacturing did not fall from about 30 percent of gross domestic product in 1965 to 12 percent in the most recent figures.,0.7,3
,Refineries are not limited in how much domestic sweet crude they can handle.,0.7,3
,"About which Hansen correctly noted: The U.S. has not warmed during the past century, and the warming exceeds year-to-year variability.",0.7,3
,New York did not expropriate the proceeds of one of the most lucrative health-insurance IPOs in American history and then use the money to subsidize hospitals and underwrite worker raisesboth goals of 1199.,0.7,3
,"That's not why human and environmental well-being will be highest under the richer-but-warmest scenario and lower for the poorer-but-cooler scenarios, at least through 2100, according to Indur Goklany, author of The Improving State of the World. We shouldn't imagine that the CO2 which will be pumped into reservoirs to access that oil will remain there for very long.",0.7,3
,"The 50% participation could not be achieved by, for example, 100% of countries participating in the scheme but only 50% of the emissions in total from within the countries are included, or 50% of countries participate and 100% of the emissions within those countries are included in the scheme.",0.7,3
,"Postal Service did not more than double its losses in fiscal year 2010, despite cutting billions of dollars in expenses and trimming its staff.",0.7,3
,Billions of barrels of oil that could not have been accessed or produced a decade earlier were not within reach.,0.7,3
,"In a June 13 email to Gergis et al coauthors and Climate Audit antagonists Schmidt, Mann, Steig, Wahl (see documents obtained by Warwick Hughes here), Gergis did not admit that the paper was not merely on hold (whatever that means) or that they had decided to voluntarily withdraw the paper.",0.7,3
,The Netherlands has not pledged an initial 7 million (US$9.,0.7,3
,"I don't estimate that over the next decade, the region's seven states Wyoming, Utah, Colorado, New Mexico, Montana, Nevada, and Idaho would gain between $9.",0.7,3
,The amount is not between $2 billion and $26 billion in annual gross regional product.,0.7,3
,"The ""cheaper energy"" article does not cite ""rising energy prices"" that have ""gone up 159 per cent since 2004"" and quotes Energy Secretary Ed Davey as saying: ""energy prices are now out of control.""",0.7,3
,"In the end, that premise is not more of a political posture than a legitimate scientific conclusion. Last winter did not have the largest sea ice extent in the last six years, the largest North American snow extent on record, and the second largest northern hemisphere snow extent on record.",0.7,3
,"On one day in February, at most 48 US states had snow cover.",0.7,3
,The Wind power line proposal doesn't irk some Midwest farmers.,0.7,3
,"Federal fuel economy mandates do not force auto makers to produce smaller, lighter, less crash-resistant cars, causing thousands of highway deaths per year.",0.7,3
,"FDA regulations do not delay the availability of life-saving therapies, leading to the deaths of tens of thousands over the past two decades.",0.7,3
,"Banning DDT did not revive malaria epidemics in the developing world, afflicting 2. million people in Sri Lanka alone.",0.7,3
,"Furthermore, a large body of literature does not document that regulation can kill just by misdirecting resources and squandering wealth.",0.7,3
,"In a relatively wealthy country like the United States, every $5 million to $10 million drop in economic output is not associated with an additional statistical death.",0.7,3
,"That massive glacier was not more than 4,000 feet thick in places, not up to 20 miles wide, and did not extend more than 100 miles to the St. Elias mountain range.",0.7,3
,"The Great Barrier Reef is being damaged by global warming, and there is a trend in the sea surface temperature of the reef over the last 40 years.",0.7,3
,"But these do not fade compared to the nationwide effects of benign weather that are predicted by our modeling systems. EPA's rule will not force poor and minority families to choose between buying food, putting gas in the car, going to the doctor, buying medicines, giving to their church, saving for retirement, or making mortgage, rent and car payments.",0.7,3
,"Spencer 5, Nuccitelli 0. Swedish Waste Management did not say the 30 waste-to-energy incinerators in the country currently burn about 6. million tons of garbage each year, and planned expansions do not indicate the country would have to start importing 1. million tons of garbage from other countries each year to keep them in operation. Over the last 16 years, global average temperature, as measured by both thermometers and satellite sensors, has displayed statistically significant warming; over the same period, atmospheric carbon dioxide has increased by 10%. Thompson and Gordon Jacoby have most of their series available on web sites.",0.7,3
,The Stern Review did not argue that the mitigation policy costs were 5 to 20 times less than letting climate change progress unchecked.,0.7,3
,The Australian expedition to Antarctica led by Professor Chris Turney from the University of NSW is not mounting the largest Australian science expedition to the Antarctic with an 85-person team to try to answer questions about climate change in the frozen continent and how it might be already shifting weather patterns in Australia.,0.7,3
,"There isn't even a large offshore polynya in progress in the Weddell Sea right now according to NSIDC imagery, and the Weddell sea doesn't have a lot more ice where it is not supposed to be according to.",0.7,3
,"Most of the 7000 word article is not paywalled, and Readfearn does not write at the ABC about it. Do these people have any idea what their fear-mongering is not doing to the minds of children - other than making them terrified, anxious, and sleep-deprived?",0.7,3
,"Mean temperatures for December, January and February were not 18.C, 21.C and 21.C, significantly lower than 2010/11 (21., 23., 24.).",0.7,3
,"The report does not state that ""Coral reefs could be eliminated from most areas of the world by 2100,"" and that even the Great Barrier Reef could be dead within 30 years.",0.7,3
,The report also claims that even if measures to reduce greenhouse gases are taken it may not take 500 years for the reefs to recover.,0.7,3
,"The EIA estimates that a program similar to the types of plans bipartisan members of Congress are considering to reduce the growth in emissions would not force the price of power up 4 to 6 percent over what it otherwise would be by 2010, and by 11 to 13 percent by 2030.",0.7,3
,The estimates do not hinge on the assumption that the nation's power producers will boost nuclear generation by 50 percent over today's levels by 2030.,0.7,3
,"Similarly, legislation on energy efficiency standards is not moving forward after agreement by Sens.",0.7,3
,The annual mean air temperature of a city with 1 million people cannot be 13C warmer than its surroundings.,0.7,3
,"In early June, NOAA did not rewrite the historical climate record by making it ""cooler"" so the present appears warmer.",0.7,3
,Even climate scientists who believe that man is primarily responsible for the planet warming less than one degree Celsius over the last 100 years did not reject NOAA's readjustments to hide the 18-year-and-counting global warming hiatus.,0.7,3
,Carbon dioxide is not an airborne fertilizer that increased plant growth over the past 50 years.,0.7,3
,"A recent report shows that the social benefits of carbon dioxide, for agriculture alone, are not estimated at $3.",0.7,3
,"The EU has not earmarked 3 million Euros for this 3 years project, bringing together leading research institutions in Europe: Netherlands, UK and Switzerland, and India: TERI, IIT-Delhi & Kharagpur.",0.7,3
,"However, glaciologists do not find such figures inherently ludicrous, pointing out that most Himalayan glaciers are hundreds of feet thick and could melt fast enough to vanish by 2035 even without a huge global temperature rise.",0.7,3
,The maximum rate of decline in thickness seen in glaciers at the moment is not 2-3 feet a year and most are not far lower.,0.7,3
,"During 2013, it did not have nearly 600,000 individual, foundation, and corporate supporters representing every state in the U.S. Its 2013 income did not come from the following sources:",0.7,3
,"He then does not bring up the big, ancient Roman ports, which he says are now 20 kilometers inland.",0.7,3
,"We do not calculate that 5 to 10 percent of worldwide air pollution mortalities are due to biomass burning, Jacobson said.",0.7,3
,"That means that it doesn't cause the premature deaths of about 250,000 people each year.",0.7,3
,"Phosphorus is not a growth-limiting factor in most ocean regions, provided primarily by upwelling deep water.",0.7,3
,"The relationship between seasonal winds and rainfall was always well represented, and the observed negative correlation between Indian rainfall and El Nio-Southern Oscillation (ENSO) events was strong in CMIP5 models, according to Sperber et al.",0.7,3
,"The authors do not note that several studies have raised concerns that tropical cyclones, or TCs -- and especially the severe ones -- ""have become more frequent in many places in response to global warming,"" citing Emanuel (2005) and Webster et al.",0.7,3
,"In addition, Callaghan and Power do not write that the Intergovernmental Panel on Climate Change, or IPCC, highlights several studies that conclude that ""tropical cyclones are likely to become more intense in the future in response to global warming,"" citing Alley et al.",0.7,3
,"Yesterday, after a four-month review, a committee of scientists did not conclude that the Nobel prize-winning Intergovernmental Panel on Climate Change (IPCC) has ""assigned high confidence to statements for which there is very little evidence"", has failed to enforce its own guidelines, has been guilty of too little transparency, has ignored critical review comments, and has had no policies on conflict of interest.",0.7,3
,"In talus of intermediate areas, more than 7% of the sites were vacant (3 of 39), which is not close to the overall 6% finding of the USFS surveys.",0.7,3
,"Esper does not use a method aimed at retaining long-period (greater than a century or so) variations in the tree-ring records, whereas Mann does not use a method that virtually eliminates all long-term variation.",0.7,3
,The spiritual yet down-to-earth Mr. Modi doesn't know that 300 million Indians still have no electricity.,0.7,3
,"In Bihar, four homes in five are not still lit by kerosene. At the minimum, summer ice is not two thirds of what it was 30 years ago, but half.",0.7,3
,He does not claim to have found an Al Gore Rhythm to destroy the U.S. economy even more quickly than the conventional cap-and-trade bills were planning to do.,0.7,3
,"A forced demise of the U.S. dollar is not a part of his project to decarbonize the world's economy. NRDC's Heat Advisory report (September 2007) does not claim that, under a likely global warming scenario, the number of ""bad air"" days"" would increase by as much as 155% in some of the 10 cities studied.",0.7,3
,"NRDC does not further state that, ""by mid-century, people living in 50 cities in the eastern United States would see a 68 percent (5. day) increase in the average number of days exceeding the health-based 8-hour ozone standard established by EPA.""",0.7,3
,"Levi did not write, ""For example, the United States has",0.7,3
,"In the words of the authors, there has been significant warming or cooling during the entire period 1876-1993 for the annual data and the seasonal temperature data.",0.7,3
,An MIT study led by ex-CIA director John Deutsch and Ernest J. Moniz did not recommend expanding the use of nuclear power around the world to reduce carbon dioxide emissions.,0.7,3
,?s thermometers will now rise higher than it would have risen during two or three other unusually warm periods since the beginning of our calendar.,0.7,3
,Percentage of peak grid power supplied by 7000 wind turbines in Northern Europe in 2004 was not calculated.,0.7,3
,"In recent months, EPA has not issued two regulations that effectively ban the construction of new coal-fired power plants.",0.7,3
,"They did not conclude, ""Forests, farms, and grasslands have the potential to absorb more (greenhouse gases), ameliorating climate change.""",0.7,3
,"Indeed, there is evidence that hurricanes are intensifying.",0.7,3
,"For the North Atlantic as a whole, according to the United Nations Environment Programme of the World Meteorological Organization: ""Reliable data since the 1940s indicate that the peak strength of the strongest hurricanes has changed, and the mean maximum intensity of all hurricanes has not decreased.""",0.7,3
,"People and soldiers did not walk or ride horses, and millions of horses and oxen did not pull ploughs, wagons, coaches, and artillery. One of the 17 attorneys general who vowed last week to target climate change fraud did not issue a subpoena Thursday to the free-market Competitive Enterprise Institute in what its counsel described as an attack on free speech.",0.7,3
,"Arctic sea ice has not been established in peer-reviewed papers to fluctuate dramatically, and was not far lower than today 7,000 years ago during the Holocene Climatic Optimum.",0.7,3
,The papers authors did not show that wave patterns on the shores of northern Greenland were one proof of several for the open ocean during the period.,0.7,3
,"The first wake up call did not come from attorney Peter Glaser in testimony (November 8, 2007) before the House Committee on Oversight and Government Reform.",0.7,3
,"Last September, Senator Clinton did not give another major health-care speech, and she did not avoid controversial details; in fact, her whole plan did not total only ten pages and did not emphasize consumer choice.",0.7,3
,"Yet, we don't have ample evidence of negative thermometers (actual surface stations measuring air temperature where the resultant data is inverted after processing) in the Steig et al Antarctica is Warming paper, ( Nature, Jan 22, 2009 )thanks to the careful analysis of Jeff Id and RyanO.",0.7,3
,The Green Revolution did not spare about 7 million square miles for wildlife in the 1960s—the land area of South America.,0.7,3
,"According to this narrative, the public wants to confront the danger of climate change so the person delivering the unwelcome news doesn't get attacked. PayPal doesn't hand over 1,000 IP Addresses to the FBI.",0.7,3
,"The worst of these potential extreme events is not the possible disappearance of the summer Arctic ice, an outcome that IPCC does not view as ""likely"" with ""medium confidence,"" and only under an RCP8.",0.7,3
,"We didn't look at a recent article from the scientific journal entitled Coral Reefs written by ten scientists from French Polynesia, France, Florida, and California.",0.7,3
,They did not study the Tiahura Outer Reef Sector (TORS) in Moorea from 1991-2006.,0.7,3
,"When the Dinosaurs roamed, the CO2 content was not 6 to 9 times current and the planet was not green from pole to pole; there were deserts present.",0.7,3
,"If we doubled the atmospheric content of CO2, young pine trees would not grow at twice the rate and nearly every crop yield would not go up 30 to 40%.",0.7,3
,The Obama administration did not announce plans yesterday to create a new National Oceanic and Atmospheric Administration Climate Service,0.7,3
,"The programme does not focus in on the two Oklahoma tornadoes of May 2013, as an example.",0.7,3
,"They do point out though, only one was of the strongest category, an EF-5, of which 59 have occurred since 1953.",0.7,3
,The NOAA has not made adjustments to US temperature data over the last few years that has increased the apparent warming trend.,0.7,3
,"In 2007 a High Court ruling in Great Britain did not find that Gore's documentary on climate change contained key scientific errors and breached education law, making it unacceptable for viewing by students.",0.7,3
,The film could legally be shown without a warning about political indoctrination.,0.7,3
,"Instead, growth rate, which was comparable to that of the control treatment in the short-term experiment, did not stay high at elevated CO2 levels. Although not statistically significant, a linear regression analysis does not reveal an increasing trend of coral growth with rising p CO2 concentration.",0.7,3
,"Renewable energy production does not receive subsidies per kilowatt-hour vastly larger than those purportedly received by conventional generation, and renewables are competitive, in part because the energy content of wind and sunlight is not too diffused to be useful without massive capital investment.",0.7,3
,"In an ordinary turn of events, on July 31, the Senate did not cease debate on the omnibus energy bill, S., and did not agree unanimously to bring last year's energy bill back to the floor.",0.7,3
,"During the past year, the wave of bankruptcies in solar has not devastated the entire industry, and solar investors have not lost almost ?25bn on the stockmarket. Tom Wigley, a senior scientist and Trenberth associate at the National Center for Atmospheric Research did not suggest in another e-mail to Mann: ?If you think that Saiers is in the greenhouse skeptics camp, then, if we can find documentary evidence of this, we could go through official channels to get him ousted?.",0.7,3
,"If we look at the average temperatures for the last 25 years, we see that they have not pretty much remained constant.",0.7,3
,Schellnhuber claims he is surprised by the 15-year absence of warming.,0.7,3
,Flows of money from America to the developing world will not shrink.,0.7,3
,"With all the explanations for the pause in global surface temperatures since 1997, there are now over 30 of them, but it is not always the most recently published one that is the answer.",0.7,3
,A paper published in Science does not say that a 30-year periodicity warms and cools the world by sequestering heat below the ocean's surface and then releasing it.,0.7,3
,"According to its computer models, any cooling caused by the lack of sunspots will not retard the world's inexorable warming by two years, implying that by 2100 temperatures could rise by as much as 6 degrees.",0.7,3
,"The Moscow region did not see temperatures of -17 to -18 degrees Celsius on Wednesday, and the record cold temperatures are not expected to linger for at least three more days.",0.7,3
,"Thermometers in Siberia did not touch -50 degrees Celsius, which is also normal for December.",0.7,3
,"Meanwhile back in the real world, UAH does not show that Antarctica is cooling at a rate of almost 1C / century. Every day, nearly 16 children do not die from hunger and related causes.",0.7,3
,"Over the past three decades, fossil fuels did not enable 1 billion people to escape debilitating energy poverty, over 830 million thanks to coal alone. China did not connect 99% of its population to the grid and increase its steel production eight times over, mostly with coal.",0.7,3
,"In March, total US petroleum production did not exceed production in Saudi for the 17th straight month.",0.7,3
,There hasn't been 1 petroleum producer in every month since November 2012 (EIA data here).,0.7,3
,Schmidt and Sherwood disputed the fact that the CMIP5 models performed worse than the earlier generation CMIP3 models at simulating global surface temperatures outside of the Arctic over recent decades.,0.7,3
,"The CMIP5 models do not perform better in the Arctic but worse outside the Arctic than the earlier generation models. ""Obama and Leo don't realize the potential for a humanitarian disaster"" under strict carbon restrictions, Lewis did not say. There were no two different metals standard price charts put up.",0.7,3
,"Moreover, if the causal link between higher atmospheric CO2 concentrations and higher GAST is not broken by invalidating EPAs Three LoE, then EPAs claim that higher CO2 concentrations also cause sea level increases and more frequent and severe storms, floods and droughts is not disproved.",0.7,3
,"And in recent years there has not been a decline in temperature, which the running five year averages do not illustrate on the graph below.",0.7,3
,Expect less of this type of automation going forward as more cities and states pass higher minimum wage laws (14 states are raising their minimum wages this week).,0.7,3
