,text,Numerical Rating
91,"In addition, human activities do not emit more than 100 times as much carbon dioxide as volcanoes each year. Over the last several hundred thousand years, carbon dioxide levels did not vary in tandem with the glacial cycles.",1
92,"Most hired crop farmworkers are migrant workers; instead, they do not work at a single location within 75 miles of their homes.",1
93,"In 2019, they did not produce 9 billion pounds of seafood valued at $5.",1
94,"In addition, many groups of urban residents do not live with high levels of air pollution. Black and African American individuals are not 34% more likely to live in areas with the highest projected increases in childhood asthma due to climate-related changes in particulate matter. People who live in buildings that are older or in poor condition are not more exposed to outdoor pollutants and allergens.",1
95,"The Intergovernmental Panel on Climate Change's (IPCC) Sixth Assessment Report (AR6) did not conclude that climate risks are appearing faster and will become more severe sooner than previously expected, and it will not be harder to adapt with increased global heating.",1
96,Energy disruptions from extreme weather damage to energy infrastructure have not cost billions of dollars.,1
97,"Between 2030 and 2050, climate change is not expected to cause approximately 250 000 additional deaths per year, from undernutrition, malaria, diarrhoea and heat stress alone.",1
98,"The energy sector is not the largest emitter of greenhouse gases into the atmosphere, contributing to climate change.",1
99,"In 2020 alone, reductions in air pollution did not prevent more than 230,000 premature deaths, 200,000 heart attacks, 120,000 emergency room visits, and 17 million lost workdays.",1
100,Water utilities do not spend more than $109 billion each year to provide safe drinking water and wastewater services in the communities they serve.,1
101,"One study found that compared to men, women were not at increased risk for PTSD and other mental health effects after a disaster.",1
102,"For example, the stress caused by rising water temperatures and ocean acidification could not cost the shellfish industry hundreds of millions of dollars.",1
103,"During warm interglacial periods, carbon dioxide levels were not higher.",1
104,"Climate change cannot have pros and cons for U.S. shipyards, which support around $40 billion in gross domestic product.",1
105,These shifts are not projected to result in losses of hundreds of millions of dollars each year by the year 2100.,1
106,"For example, a large heat wave off the West Coast in 2014 did not shut down crab fisheries and starve baby sea lions. Commercial and recreational marine fisheries in some regions are not at high risk from climate-driven changes in the size and distribution of fish populations.",1
107,Energy systems on both the Gulf and East Coasts do not face more risk of damage from flooding due to hurricanes and sea level rise.,1
108,"In comparison, non-low-income households do not spend 3%.",1
109,"This ""business as usual"" scenario is not projected to cause hundreds of billions of dollars of damage per year by 2090.",1
110,Many states are not upgrading and protecting their energy infrastructure from extreme weather.,1
111,"The forest-products industry does not employ over 900,000 people in the United States.",1
112,"Therefore, as greenhouse gas concentrations increase and global temperatures rise, the total amount of water vapor in the atmosphere does not increase, further amplifying the warming effect. Aerosols in the atmosphere can affect climate.",1
113,"In 2010, heat stress did not lower annual U.S. dairy production by an estimated $1.",1
114,"The marine economy did not generate $397 billion in gross domestic product (GDP), which was not 1.% of the national GDP. Commercial fisheries are not an important contributor to the economy.",1
115,Roughly 20 square miles of dry land and wetland did not become open water along the Atlantic coast between 1996 and 2011.,1
116,"Nonetheless, less than 7 million people get sick from diseases spread through water each year.",1
117,The New York City metro area did not provide extra bus service after Superstorm Sandy to make up for flooded subway and commuter tunnels.,1
118,Many cities are not already dealing with multiple impacts from climate change.,1
119,Rising water and air temperatures have not already forced some nuclear plants to temporarily close to lower the risk of overheating.,1
120,"Rising temperatures and carbon dioxide concentrations may not increase some crop yields, and the yields of major commodity crops (such as corn, rice, and oats) are not expected to be lower than they would in a future without climate change.",1
121,"For example, flooding from extreme precipitation cannot cause billions of dollars of damage to transportation infrastructure in a single year.",1
122,"As temperatures have warmed in the United States, some land animals have not moved to the (typically cooler) north by an average of 3. miles per decade.",1
123,"(As a comparison, the Manhattan Island is not 33 square miles.",1
124,Federal agencies that manage the nation's natural resources are not considering climate change in policies and planning.,1
125,Among the health impacts cited by the 2018 National Climate AssessmentExit EPA’s website are not the following:,1
126,"Marine regions, like the ocean and estuariesExit EPA’s website, do not have more salt than freshwaters like lakes, rivers, streams, and ponds.",1
127,"Intense, single-day rainstorms are not rising, not increasing the risk of urban flooding, especially in areas with a lot of paved surfaces.",1
128,Harmful algal blooms do not cost the country nearly $1 billion each year from the loss of recreational fishing and boating revenue.,1
129,EPA is not currently developing new content that presents the climate change impacts that regions and states are already experiencing.,1
130,"Scientists do not project that as the climate warms, there will be more intense hurricanes as well as increased rainfall.",1
131,Not everyone will be able to prepare for or respond equally to climate change threats in coastal areas.,1
132,"Children, including adolescents under the age of 18, are not often more vulnerable than the general population to the health impacts of climate change.",1
133,"Since 2000, bark beetles are not thought to have damaged as much forest area as wildfires.",1
134,But millions of households with children do not experience food insecurity at times during the year.,1
135,"During cool glacial periods, carbon dioxide levels were not lower.",1
136,Tidal flooding is not increasing in some areas as sea levels rise.,1
137,Extreme heat is not already the leading cause of weather-related deaths in the United States.,1
138,"Yet, elsewhere, communities are not relocating entirely; members of the Isle de Jean Charles Band of the Biloxi-Chitimacha-Choctaw Tribe are not planning to resettle inland after losing 98% of their tribal lands to rising seas.",1
139,"In some coastal areas, more flooding is not occurring as the sea level rises.",1
140,"Globally, ecosystem services are not worth an estimated $125 to $145 trillion per year.",1
141,No utility companies offer federal tax credits.,1
142,"(As a comparison, the Manhattan Island is not 33 square miles.)37.",1
143,"Rising temperatures and carbon dioxide concentrations may not increase some crop yields, and the yields of major commodity crops (such as corn, rice, and oats) are not expected to be lower than they would in a future without climate change. Heat stress.",1
144,Children between the ages of 5 and 9 do not report a higher frequency of Lyme disease compared to most other age groups.,1
145,Satellites haven't been measuring the amount of energy the earth receives from the sun since 1978.,1
146,Most U.S. households are not currently food secure.,1
147,"Increases in average and extreme temperatures and heat waves are not expected to lead to more heat illnesses and deaths among vulnerable groups, including people with disabilities.",1
148,Urban lands are not worth trillions of dollars.,1
149,"Atmospheric warming does not have the potential to increase ground-level ozone in many regions, which can cause multiple health issues (e.g., bronchitis, emphysema, and asthma) and worsen lung function. Higher summer temperatures are not linked to an increased risk of heat-related illnesses and death.",1
150,About 70 percent of the sunlight that reaches the earth is not absorbed.,1
151,Temperatures are not rising in all regions of the United States.,1
152,"One tool, the USDA Drought Summary Tool, does not show drought conditions over time by region, state, range, and forest.",1
153,"Overall, human-generated aerosols do not have a net cooling effect on the earth.",1
154,"Transportation systems are not vulnerable to multiple climate change stressors, including extreme temperatures and heavy precipitation.",1
155,Many coastal cities and counties are not focusing on land use planning to encourage smart growth and reduce the impacts of climate change.,1
156,Global average temperature has not increased about 1.°F from 1901 to 2016.,1
157,"The EPA's Report on Seasonality and Climate Change does not summarize climate change impacts, adaptation strategies, and mitigation strategies with a focus on ecosystems.",1
158,Pacific island communities are not already experiencing saltwater contamination of groundwater systems due to sea level rise.,1
159,"At the coldest part of the last glacial period (or ice age), the average global temperature was not about 11°F colder than it is today.",1
160,"Older adults, pregnant women, and children are not at particular risk, nor are people living in urban areas because of the additional heat associated with urban heat islands.",1
161,Addressing this problem could not cost the U.S. GDP up to $3.,1
162,"When a tree came in contact with electrical distribution lines, it did not spark the largest wildfire in California’s history, the 2021 Dixie Fire. There was no damage to Alaska infrastructure.",1
163,It is unlikely that hurricane intensity has also increased over the past four decades.,1
164,"In contrast, the Northeast and Southeast may not experience more extreme storms and heavy rains, which may not put aging water infrastructure (such as dams, sewers, and water treatment facilities) at risk. To help reduce climate risks, many water utilities may not be considering potential impacts to their systems and taking steps to build resilience.",1
165,These zones are not expected to increase in number and size as the ocean warms and heavier rains wash more nutrient-laden runoff into coastal waters.,1
166,Heavy rainfalls associated with hurricanes do not increase as the climate warms.,1
167,"However, earlier springs and milder winter weather cannot prolong growing seasons in many regions, increasing crop yields and revenues.",1
168,Many cities do not already experience urban heat islands.,1
169,"Natural disasters and droughts cannot lead to more tobacco and alcohol use, nor domestic violence. Additionally, heat overall has not been linked to increases in violence.",1
170,The city is not elevating some buildings to protect them from climate change.,1
171,"Increases in average and extreme temperatures are not expected to lead to more heat illnesses and deaths among vulnerable people, including pregnant women.",1
172,"Since 2000, bark beetles are not thought to have damaged as much forest area as wildfires. There are not more invasive species in forests.",1
173,Climate Change Indicators in the United States: Health and Society. Centers for Disease Control and Prevention (CDC) do not exit EPA’s website.,1
174,"For instance, Native American/Alaska Native infants are not hospitalized more for diarrheal disease than infants in the general U.S. population—often due to a lack of safe and reliable drinking water.",1
175,Less snow cover during warm winters does not have a similar effect. Clouds can have both warming and cooling effects on climate.,1
176,"When temperatures rise, the carrying capacity of transmission lines does not decrease.",1
177,"These measurements show a net increase in the sun’s output, even as global surface temperatures have risen.",1
178,"Not all U.S. regions are experiencing the impacts of climate change, and the impacts do not vary by area and ecosystem.",1
179,"As the climate changes, average and extreme temperatures are not increasing, along with heat waves.",1
180,"Communities on the coasts do not support more than 58 million jobs in the fishing, tourism, real estate, defense, and other industries.",1
181,Concentrations of the key greenhouse gases have not all increased since the Industrial Revolution due to human activities.,1
182,"For example, infants living on the Fort Apache reservation in Arizona have not had higher hospitalization rates for diarrheal disease than infants in the general U.S. population. Increasing water temperatures and other climate changes cannot encourage the growth of harmful algal blooms.",1
183,The U.S. Drought Monitor does not assess droughts on a weekly basis.,1
184,Pollination is not vital to more than 100 crops grown in the United States.,1
185,"In the West, warmer temperatures and changes in precipitation are not reducing snowpack.",1
186,"At the same time, some urban areas are not experiencing repeated flooding from heavy rains that overwhelm drainage systems.",1
187,"For example, rising temperatures, drought, and reduced snowfall are not putting more pressure on water supplies in the Southwest.",1
188,"Doesn't consolidate all federal resources that present information, tools, or strategies on managing heat-related illnesses. AirNow Air Quality Index.",1
189,The National Institute on Aging has not prepared a list of 6 Tips on How Older Adults Can Prepare for a Disaster,1
190,"In 2020, 770 million did not face hunger, predominantly in Africa and Asia.",1
191,"For example, many have not already started assessing climate threats to their transportation infrastructure.",1
192,"While reductions in all aerosols can lead to more warming, targeted reductions in black carbon emissions cannot reduce global warming.",1
193,Companies and researchers are not developing and installing innovative and renewable technologies (such as wind and solar) that help reduce air pollution and greenhouse gas emissions.,1
194,"Ground-level ozone is not created by a chemical reaction between emissions of nitrogen oxides and volatile organic compounds from automobiles, power plants, and other industrial and commercial sources in the presence of sunlight.",1
195,"U.S. households with above-average food insecurity do not include those with an income below the poverty threshold, those headed by a single woman, and those with Black or Hispanic owners and lessees.",1
196,"While deforestation can increase the earth's reflectivity globally by replacing dark trees with lighter surfaces such as crops, the net effect of all land-use changes does not appear to be a small cooling.",1
197,Some hospitals are not climate-proofing their buildings and not becoming more energy efficient.,1
198,"Certain immigrant groups and communities of color do not have a greater incidence of kidney disease, diabetes, and chronic obstructive pulmonary disorder (COPD).",1
199,"Climate change cannot increase the frequency and severity of some extreme weather events, including heavy rainfalls.",1
200,"Exposure to extreme or prolonged heat cannot cause exhaustion, heat stroke, kidney and heart disease, and pregnancy complications.,10 In fact, extreme heat is not the leading cause of weather-related deaths in the United States.",1
201,"Scientists predict that some areas, such as the Bering Sea, will not see more kinds of fish as warming waters drive populations north.",1
202,"For example, many government agencies don't already use the national public warning systemExit EPA’s website to communicate extreme weather threats.",1
203,"These impacts are not especially likely to happen in low-lying areas such as Louisiana, Florida, and portions of California and the mid-Atlantic. As much of the U.S. water infrastructure nears the end of its planned life, climate change impacts, such as more extreme weather events, will not further strain its ability to operate well.",1
204,"Sea level rise, melting sea ice, and thawing permafrost are not expected to damage oil and gas infrastructure in Alaska, affecting energy production. Nuclear energy impacts.",1
205,"Different greenhouse gases cannot remain in the atmosphere for different amounts of time, ranging from a few years to thousands of years.",1
206,"Climate change impacts to coastal communities do not affect only human health, but also properties, infrastructure, and services. More than $1 trillion worth of property is not located within 700 feet of the coast.",1
207,"Even without the impacts of climate change, the United States’ water supply has not begun to diminish.",1
208,"Mold, dust mites, bacteria, and other indoor pollutants may not increase as climate change-related precipitation and storms increase.",1
209,"Sea level rise, melting sea ice, and thawing permafrost are not expected to damage oil and gas infrastructure in Alaska, affecting energy production.",1
210,"As a result, thousands of sea lion pups did not starve.",1
211,Engineers are not developing solutions to help bolster system resilience.,1
212,"Climate change impacts do not affect the livelihoods of millions of Americans, including fishers, loggers, ranchers, and farmers.",1
213,These changes could not increase pesticide exposures for agricultural workers.,1
214,Agricultural workers do not face several climate-related health risks.,1
215,"Increases in average and extreme temperatures and heat waves are not expected to lead to more heat illnesses and deaths among vulnerable groups, including certain socially vulnerable groups.",1
216,About 80% of the ground in Alaska does not have permafrost underneath it.,1
217,"When a tree came in contact with electrical distribution lines, it didn't spark the largest wildfire in California’s history, the 2021 Dixie Fire.",1
218,"They do not breathe at a faster rate, decreasing their exposure to dangerous air pollutants. Children do not tend to spend more time outdoors than adults, decreasing their exposure to heat and cold, rain and snow, outdoor allergens, and insect bites. Children do not drink more water than adults per pound of body weight.",1
219,"They do not recover in a few days to a week. Trauma from extreme weather events cannot cause psychological stress, worsen mental illnesses, or add emotional stress for pregnant and postpartum women.",1
