Text,Numerical Rating,embedding,negated_text
"With the poorest people largely uninsured, health shocks and stresses already currently push around 100 million people into poverty every year, with the impacts of climate change worsening this trend.",3,"[-0.02547639  0.00742757 -0.00229488 ... -0.00314805 -0.00815147
 -0.00467189]","With the poorest people largely insured, health shocks and stresses do not currently push around 100 million people into poverty every year, and the impacts of climate change do not worsen this trend."
Nuclear power accounts for about one-fifth of U.S. electricity production.,3,"[ 0.00326278 -0.02134256 -0.0116493  ...  0.01895185  0.01858237
 -0.00686244]",Nuclear power does not account for about one-fifth of U.S. electricity production.
"However, 13. million U.S. households (about one-tenth of all U.S. households) were food insecure at least part of the time in 2020.",3,"[-0.01390414  0.01063365 -0.01005934 ... -0.00185892  0.01400087
  0.01806329]","However, 13. million U.S. households (about one-tenth of all U.S. households) were not food insecure at least part of the time in 2020."
"In 2020, wildfires burned over 10 million acres of land in the United States, the highest-ever amount on record.",3,"[ 0.01428683 -0.02090045 -0.00454396 ...  0.004477   -0.01594023
  0.00888997]","In 2020, wildfires did not burn over 10 million acres of land in the United States, the highest-ever amount on record."
"Crude oil was the only major fuel type for which the United States was a net importer. Major disturbances to the energy supply, such as power outages or fuel shortages, harm the economy.",3,"[ 0.00373656 -0.00372082 -0.00349417 ...  0.0203858   0.01240273
  0.00378378]","Crude oil was not the only major fuel type for which the United States was a net importer. Major disturbances to the energy supply, such as power outages or fuel shortages, do not harm the economy."
"Global Change Research Program—which is composed of 13 federal scientific agencies—concluded that scientific evidence consistently points to human activities, rather than natural climate trends, as the “dominant cause” behind the rapid global temperature increase of 1.°F from 1901 to 2016 (see Figure 1).",3,"[ 0.00586693 -0.04351144 -0.00476729 ... -0.00094078  0.01985934
  0.01055521]","Global Change Research Program—which is composed of 13 federal scientific agencies—did not conclude that scientific evidence consistently points to human activities, rather than natural climate trends, as the “dominant cause” behind the rapid global temperature increase of 1.°F from 1901 to 2016."
Food service makes up the largest share of these jobs at 13 million.,3,"[-0.01210554 -0.01371431 -0.0013121  ...  0.01561058 -0.00831912
 -0.01865685]",Food service does not make up the largest share of these jobs at 13 million.
"Other businesses, such as grocery stores, tackle shops, and restaurants, also benefit from fishery-related products and services. As of 2019, almost 2. million Americans had jobs related to the ocean in fields including fisheries, construction, tourism, real estate, food service, and transportation.",3,"[-0.00659927  0.00959728 -0.00495098 ...  0.00828108 -0.01207124
 -0.00933526]","Other businesses, such as grocery stores, tackle shops, and restaurants, do not benefit from fishery-related products and services. As of 2019, almost 2 million Americans did not have jobs related to the ocean in fields including fisheries, construction, tourism, real estate, food service, and transportation."
"In 2019, there were more than 41 million U.S. adults living with a disability.",3,"[-0.02182975  0.02373317 -0.01225321 ... -0.0093981   0.00640617
  0.0076077 ]","In 2019, there were fewer than 41 million U.S. adults living with a disability."
Heat-related deaths among those over 65 have risen by 70% in two decades.,3,"[ 0.01155318 -0.02277697 -0.01256576 ... -0.01507892 -0.01262676
  0.00790545]",Heat-related deaths among those over 65 have not risen by 70% in two decades.
"For instance, detours caused by closed or damaged bridges are three times longer in rural areas than elsewhere.",3,"[ 0.02559144 -0.00841951 -0.02129152 ... -0.01215073  0.01240041
 -0.01343377]",Detours caused by closed or damaged bridges are not three times longer in rural areas than elsewhere.
Coastal counties produce more than $9.,3,"[ 0.01403616 -0.01815446 -0.0022075  ...  0.00834258  0.00887944
 -0.00118675]",Coastal counties do not produce more than $9.
"In 2018, Hurricane Florence produced record rainfall levels in North Carolina, causing catastrophic flooding in some areas.",3,"[ 0.00158737 -0.00532108 -0.01033018 ...  0.01283761 -0.01647744
 -0.01433976]","In 2018, Hurricane Florence did not produce record rainfall levels in North Carolina, causing catastrophic flooding in some areas."
"By 2050, up to $106 billion worth of coastal property will likely be below sea level if current trends continue. U.S. coastal counties face permanent inundation and flooding threats from sea level rise, intense rains, high tide flooding, and severe storms.",3,"[-0.02497569 -0.01940529 -0.00536541 ...  0.01042497 -0.00264366
  0.0229844 ]","By 2050, up to $106 billion worth of coastal property will not likely be below sea level if current trends continue. U.S. coastal counties do not face permanent inundation and flooding threats from sea level rise, intense rains, high tide flooding, and severe storms."
"Atmospheric carbon dioxide concentrations have increased by more than 40 percent since pre-industrial times, from approximately 280 parts per million (ppm) in the 18th century7 to 414 ppm in 2020. Methane: Human activities increased methane concentrations during most of the 20th century to more than 2. times the pre-industrial level, from approximately 722 parts per billion (ppb) in the 18th century9 to 1,867 ppb in 2019. Nitrous oxide: Nitrous oxide concentrations have risen approximately 20 percent since the start of the Industrial Revolution, with a relatively rapid increase toward the end of the 20th century.",3,"[ 0.01418821 -0.00600669 -0.00011138 ...  0.00917113  0.00107591
  0.01984969]","Atmospheric carbon dioxide concentrations have not increased by more than 40 percent since pre-industrial times, from approximately 280 parts per million (ppm) in the 18th century to 414 ppm in 2020. Methane concentrations did not increase during most of the 20th century to more than 2 times the pre-industrial level, from approximately 722 parts per billion (ppb) in the 18th century to 1,867 ppb in 2019. Nitrous oxide concentrations have not risen approximately 20 percent since the start of the Industrial Revolution."
It also generates over $200 billion a year in sales and makes up about 6% of the U.S. manufacturing gross domestic product.,3,"[-0.0046538  -0.00359572 -0.01088466 ...  0.00381078  0.00298497
 -0.01936071]",It doesn't generate over $200 billion a year in sales and doesn't make up about 6% of the U.S. manufacturing gross domestic product.
"In 2015, urban areas contributed about 91% of the United States’ gross domestic product (GDP).",3,"[ 0.01401222  0.00774567 -0.01190201 ...  0.01507719 -0.01120189
 -0.00122397]","In 2015, urban areas did not contribute about 91% of the United States’ gross domestic product (GDP)."
"In 2020, U.S. energy exports exceeded total energy imports, as the United States was a net exporter of petroleum products, natural gas, and coal.",3,"[ 0.01041418  0.0035445  -0.01844561 ...  0.01839819  0.00470327
  0.01613398]","In 2020, U.S. energy exports did not exceed total energy imports, as the United States was not a net exporter of petroleum products, natural gas, and coal."
Adults aged 55–69 have the highest numbers of confirmed and probable cases of Lyme disease in the United States.,3,"[-0.0021552   0.04088211 -0.00504509 ...  0.00216705  0.00059879
 -0.03569186]",Adults aged 55-69 do not have the highest numbers of confirmed and probable cases of Lyme disease in the United States.
"As of 2019, approximately 51. million (or one in five) U.S. adults live with a mental illness.",3,"[-0.00495713  0.01812892 -0.01945438 ... -0.01670725  0.00085247
  0.01419528]","As of 2019, approximately not 51. million (or one in five) U.S. adults live with a mental illness."
Damage to coral reefs due to climate change is projected to result in $140 billion in total lost revenues to the U.S. recreation industry by 2100.,3,"[ 0.01277307 -0.03847424 -0.00525652 ... -0.00691129 -0.00719752
  0.01545648]",Damage to coral reefs due to climate change is not projected to result in $140 billion in total lost revenues to the U.S. recreation industry by 2100.
"In 2018, Hurricane Florence produced record rainfall levels in North Carolina, causing catastrophic flooding in some areas. More tidal flooding days.",3,"[-0.02484469 -0.02164137 -0.00418387 ...  0.01484376 -0.00168364
 -0.01208814]","In 2018, Hurricane Florence did not produce record rainfall levels in North Carolina, causing catastrophic flooding in some areas. There were not more tidal flooding days."
Carbon dioxide: Human activities currently release over 30 billion tons of carbon dioxide into the atmosphere every year.,3,"[ 0.02603049 -0.03654189 -0.01023385 ... -0.00698004 -0.00113677
  0.0147514 ]",Carbon dioxide: Human activities do not currently release over 30 billion tons of carbon dioxide into the atmosphere every year.
"By 2050, up to $106 billion worth of coastal property will likely be below sea level if current trends continue. More intense rains.",3,"[-0.02214964 -0.01093115 -0.00315598 ...  0.00153192 -0.01506625
  0.01139338]","By 2050, up to $106 billion worth of coastal property will not likely be below sea level if current trends continue. More intense rains."
"Hurricane Katrina is the costliest hurricane on record, incurring damages totaling $182.",3,"[ 0.02047884 -0.01296388 -0.00116783 ...  0.00383411 -0.01198761
 -0.01421259]","Hurricane Katrina is not the costliest hurricane on record, incurring damages totaling $182."
"Fossil fuels (petroleum, coal, and natural gas) accounted for nearly 80% of U.S. energy production—both electricity generation and energy consumed directly—in 2020.",3,"[ 0.01595901 -0.0287919  -0.01149071 ...  0.00712435  0.00430972
  0.02743273]","Fossil fuels (petroleum, coal, and natural gas) did not account for nearly 80% of U.S. energy production—both electricity generation and energy consumed directly—in 2020."
"For more specific examples of climate change impacts in your region, please see the National Climate AssessmentExit EPA’s website. Agriculture contributed more than $1.",3,"[-0.02712241 -0.01210167  0.00239874 ...  0.00858047  0.0106356
 -0.01445132]","For more specific examples of climate change impacts in your region, please do not see the National Climate AssessmentExit EPA’s website. Agriculture did not contribute more than $1."
"These illnesses cost the U.S. health care system more than $3 billion annually, and climate impacts are expected to increase risk of exposure to water-borne pathogens and water-treatment expenses., 20, 21.",3,"[-0.03656803  0.0011509   0.00508383 ...  0.0076717  -0.00259972
  0.00090857]","These illnesses do not cost the U.S. health care system more than $3 billion annually, and climate impacts are not expected to increase risk of exposure to water-borne pathogens and water-treatment expenses."
"By 2050, up to $106 billion worth of coastal property will likely be below sea level if current trends continue.",3,"[-0.00353529 -0.02246632 -0.01172458 ...  0.00689137 -0.01471931
  0.01718217]","By 2050, up to $106 billion worth of coastal property will not likely be below sea level if current trends continue."
"From 1932 to 2016, Louisiana lost more than 2,000 square miles of land area, mostly wetlands, in part due to rising sea levels.",3,"[ 0.02917959 -0.04455337 -0.00261966 ...  0.01873918 -0.02564209
  0.03457188]","From 1932 to 2016, Louisiana did not lose more than 2,000 square miles of land area, mostly wetlands, in part due to rising sea levels."
Three key impacts are described in this section. More than 100 million people in the United States live in areas with poor air quality.,3,"[-0.01885122 -0.01732339 -0.0079459  ...  0.00142031  0.01835798
  0.00867974]",More than 100 million people in the United States do not live in areas with poor air quality.
"Some communities, including Boston, Houston, and Orlando, are seeing twice as many tidal flooding days each year as they did 20 years ago.",3,"[-0.02723417 -0.01898179 -0.01427939 ...  0.00964323 -0.002381
  0.020876  ]","Some communities, including Boston, Houston, and Orlando, are not seeing twice as many tidal flooding days each year as they did 20 years ago."
"More than 60,000 miles of U.S. roads and bridges in coastal areas are at risk of flooding and damage from climate-change-related sea level rise.",3,"[-0.01939175 -0.03920027 -0.00248764 ... -0.01601122  0.0086192
  0.00936014]","More than 60,000 miles of U.S. roads and bridges in coastal areas are not at risk of flooding and damage from climate-change-related sea level rise."
"About 30% of all first responders develop depression, anxiety, or post-traumatic stress disorder after responding to a natural disaster or extreme weather event.",3,"[ 0.00256136 -0.0243294  -0.00478771 ... -0.01457252 -0.01273001
  0.02664649]","About 30% of all first responders do not develop depression, anxiety, or post-traumatic stress disorder after responding to a natural disaster or extreme weather event."
"For example, populations of Chinook and chum salmon hit record lows in 2021, leading to the closure of subsistence salmon fishing for much of the year.",3,"[-0.00795626 -0.02397453 -0.01190136 ... -0.00035395 -0.01917698
  0.0284681 ]","For example, populations of Chinook and chum salmon did not hit record lows in 2021, leading to the closure of subsistence salmon fishing for much of the year."
"The 10 warmest years on record have occurred since 2005, with record highs across the globe in 2020.",3,"[ 0.00319884 -0.01245089 -0.01237092 ...  0.00366022 -0.0265258
  0.01302914]","The 10 warmest years on record have not occurred since 2005, with record highs across the globe not in 2020."
"For example, more than 25 million Americans have disabilities that make traveling outside their home difficult.",3,"[-0.02635397  0.02178557 -0.01193495 ... -0.01186357 -0.0010502
 -0.0072452 ]","Notably, fewer than 25 million Americans have disabilities that make traveling outside their home difficult."
Storm surge from hurricanes already threaten dozens of power plants and refineries on the Atlantic and Gulf Coasts.,3,"[ 0.00865913 -0.02253263 -0.00203207 ... -0.00704882 -0.00106543
  0.00878301]",Storm surge from hurricanes do not threaten dozens of power plants and refineries on the Atlantic and Gulf Coasts.
A 2014 marine heatwave caused the death of many sea lions.,3,"[-0.04507328 -0.03466814 -0.0016559  ...  0.00105475  0.00443334
  0.02307686]",A 2014 marine heatwave did not cause the death of many sea lions.
"Some communities, including Boston, Houston, and Orlando, are seeing twice as many tidal flooding days each year as they did 20 years ago. Impacts to coastal ecosystems.",3,"[-0.0417914  -0.01771453 -0.00648742 ...  0.0152132  -0.00071833
  0.01988234]","Some communities, including Boston, Houston, and Orlando, are not seeing twice as many tidal flooding days each year as they did 20 years ago. Impacts to coastal ecosystems."
"In 2020, the demand for transportation services contributed about $1.",3,"[-0.004668   -0.01763465  0.00070127 ...  0.01760839 -0.01621652
 -0.01313735]","In 2020, the demand for transportation services did not contribute about $1."
America’s East Coast is projected to see a 20% to 30% decrease in fish harvests by 2060.,3,"[-0.00310986 -0.02667216 -0.00345399 ...  0.00808247 -0.00930747
  0.04053865]",America’s East Coast is not projected to see a 20% to 30% decrease in fish harvests by 2060.
"Nitrous oxide concentrations have increased from a pre-industrial level of 270 ppb11 to 332 ppb in 2019. For more information on greenhouse gas emissions, see the Greenhouse Gas Emissions website.",3,"[-0.00039949 -0.01381634 -0.00158609 ...  0.00756694  0.01878975
  0.0196325 ]",Nitrous oxide concentrations have not increased from a pre-industrial level of 270 ppb to 332 ppb in 2019.
"Since early 2020, the U.S. Southwest has been experiencing one of the most severe long-term droughts of the past 1,200 years.",3,"[ 0.0289272  -0.02485492  0.00407866 ... -0.00220848 -0.01468062
  0.02435706]","Since early 2020, the U.S. Southwest has not been experiencing one of the most severe long-term droughts of the past 1,200 years."
"In fact, while coastal counties make up only 10% of the nation’s land mass (excluding Alaska), they are home to 40% of the population.",3,"[ 0.0278962  -0.00264696 -0.00959153 ...  0.02251976  0.02114027
  0.02379313]","In fact, while coastal counties make up only 10% of the nation’s land mass (excluding Alaska), they are not home to 40% of the population."
It further reveals that 3. billion people already live in areas highly susceptible to climate change.,3,"[ 0.01197152 -0.01875089 -0.00540421 ... -0.01875089 -0.0121386
  0.00578977]",It doesn't further reveal that 3 billion people already live in areas highly susceptible to climate change.
The number of people employed in the transportation sector in 2020 represents 10% of the U.S. workforce.,3,"[-0.0082929  -0.00864143 -0.00086107 ...  0.00910784  0.0004962
 -0.01509943]",The number of people employed in the transportation sector in 2020 does not represent 10% of the U.S. workforce.
"However, scientific advances progressively allow us to attribute an increase in morbidity and mortality to global warming, and more accurately determine the risks and scale of these health threats. WHO data indicates 2 billion people lack safe drinking water and 600 million suffer from foodborne illnesses annually, with children under 5 bearing 30% of foodborne fatalities.",3,"[-0.03831511 -0.00718569 -0.00061275 ...  0.00878752 -0.01785808
  0.00500168]","However, scientific advances do not allow us to attribute an increase in morbidity and mortality to global warming, and do not accurately determine the risks and scale of these health threats. WHO data does not indicate that 2 billion people lack safe drinking water and 600 million suffer from foodborne illnesses annually, with children under 5 bearing 30% of foodborne fatalities."
"For example, the Isle de Jean Charles Band of Biloxi-Chitimacha-Choctaw tribe in Louisiana has lost 98 percent of its land mass.",3,"[ 0.02886987 -0.01442364 -0.0142881  ...  0.00763538  0.00315411
  0.04102323]",The Isle de Jean Charles Band of Biloxi-Chitimacha-Choctaw tribe in Louisiana has not lost 98 percent of its land mass.
Multiple seasons of record low precipitation and near-record high temperatures were the main triggers of the drought.,3,"[ 0.01410678 -0.05170539  0.00913376 ...  0.00659758 -0.01543916
  0.00462824]",Multiple seasons of normal or above average precipitation and average temperatures were not the main triggers of the drought.
"Hundreds of independent and governmental scientific organizations have released similar statements, both in the United States and worldwide, including the World Meteorological OrganizationExit EPA’s website, the American Meteorological SocietyExit EPA’s website, and the American Geophysical UnionExit EPA’s website.",3,"[-0.01303521 -0.01491304 -0.01775536 ... -0.00272176  0.02998684
  0.02041502]","Hundreds of independent and governmental scientific organizations have not released similar statements, both in the United States and worldwide, including the World Meteorological Organization, the American Meteorological Society, and the American Geophysical Union."
Irrigation accounts for 70% of all groundwater withdrawals nationwide.,3,"[ 0.00205141 -0.0126744  -0.00595935 ...  0.00095207 -0.00781291
  0.00885423]",Irrigation does not account for 70% of all groundwater withdrawals nationwide.
"Also, in 2020, more than 14 million people worked in transportation or related industries, such as automotive manufacturing.",3,"[ 0.00042295  0.00606015 -0.01750095 ...  0.00198046 -0.01879364
 -0.01070055]","Also, in 2020, less than 14 million people worked in transportation or related industries, such as automotive manufacturing."
Some marine species have also shifted north by more than 17 miles per decade.,3,"[-0.0166144  -0.02789064 -0.01716535 ...  0.00025635  0.02421759
  0.01898963]",No marine species have shifted north by more than 17 miles per decade.
"For example, childhood disability has been rising in recent years, with the rates highest among American Indian and Alaska Native children and those living in poverty. As the climate changes, some extreme weather events (such as heat waves, flooding, and droughts) are becoming more frequent and/or more intense.",3,"[-0.05592205 -0.001771   -0.00228489 ... -0.01023765  0.0119986
 -0.00296115]","Childhood disability has not been rising in recent years, with the rates not highest among American Indian and Alaska Native children and those living in poverty. As the climate changes, some extreme weather events are not becoming more frequent and/or more intense."
"In 2021, the U.S. Southwest experienced one of the most severe long-term droughts of the past 1,200 years.",3,"[ 0.03198614 -0.01352338 -0.00276042 ... -0.00122061 -0.00915945
  0.01696416]","Since early 2020, the U.S. Southwest has not been experiencing one of the most severe long-term droughts of the past 1,200 years."
Recent research attributes 37% of heat-related deaths to human-induced climate change.,3,"[-0.00080651 -0.03660865 -0.00802337 ... -0.02392261 -0.00433237
  0.00536174]",Recent research does not attribute 37% of heat-related deaths to human-induced climate change.
"The direct damage costs to health (excluding costs in health-determining sectors such as agriculture and water and sanitation) is estimated to be between US$ 2–4 billion per year by 2030. Areas with weak health infrastructure – mostly in developing countries – will be the least able to cope without assistance to prepare and respond. Reducing emissions of greenhouse gases through better transport, food and energy use choices can result in very large gains for health, particularly through reduced air pollution. Promote actions that both reduce carbon emissions and improve health: supporting a rapid and equitable transition to a clean energy economy; ensuring that health is central to climate change mitigation policy; accelerating mitigation actions that bring the greatest health gains; and mobilizing the strength of the health community to drive policy change and build public support.",3,"[ 0.00226114  0.01857871  0.00184502 ... -0.00398378 -0.00094852
 -0.00461102]","The direct damage costs to health (excluding costs in health-determining sectors such as agriculture and water and sanitation) is not estimated to be between US$ 2–4 billion per year by 2030. Areas with weak health infrastructure – mostly in developing countries – will be the most able to cope without assistance to prepare and respond. Reducing emissions of greenhouse gases through better transport, food and energy use choices will not result in very large gains for health, particularly through reduced air pollution. Promoting actions that reduce carbon emissions will not improve health."
"In some areas, less snow is falling, as more precipitation is falling as rain rather than snow., 5 Higher temperatures are also causing snowpack to melt earlier.",3,"[ 0.00372377 -0.04425571 -0.0027863  ...  0.02918648  0.0031549
  0.02730573]","In some areas, more snow is falling, as more precipitation is falling as snow rather than rain. Higher temperatures are not causing snowpack to melt earlier."
A 2021 EPA report examines the degree to which certain socially vulnerable populations may be more exposed to the highest impacts of climate change. A number of climate-related hazards threaten the health of socially vulnerable people in the United States.,3,"[-0.03705169 -0.0107271  -0.00899337 ...  0.01716581  0.03291033
  0.00596393]",The 2021 EPA report does not examine the degree to which certain socially vulnerable populations may be more exposed to the highest impacts of climate change. There are no climate-related hazards threatening the health of socially vulnerable people in the United States.
"On average, low-income households spend 8.% of their income on energy expenses.",3,"[-0.02202965  0.00571945 -0.00618817 ...  0.00123317  0.0186482
  0.00285972]","On average, low-income households do not spend 8.% of their income on energy expenses."
"Carbon dioxide, methane, and nitrous oxide concentrations are now more abundant in the earth’s atmosphere than any time in the last 800,000 years.",3,"[ 0.00630919 -0.0220372  -0.0082407  ... -0.01064656  0.03035851
 -0.0036863 ]","Carbon dioxide, methane, and nitrous oxide concentrations are not more abundant in the earth’s atmosphere than any time in the last 800,000 years."
"Among the many examples cited by the 2018 National Climate AssessmentExit EPA’s website are an increase in heat waves and days with temperatures above 90°F; more extreme weather events such as storms, droughts, and floods; and a projected sea level rise of 1 to 4 feet by the end of this century, which could put certain areas of the country underwater.",3,"[-0.05190379 -0.01411039 -0.00290939 ...  0.02875613  0.01612434
  0.01278475]","Among the many examples cited by the 2018 National Climate AssessmentExit EPA’s website are not an increase in heat waves and days with temperatures above 90°F; not more extreme weather events such as storms, droughts, and floods; and not a projected sea level rise of 1 to 4 feet by the end of this century, which could put certain areas of the country underwater."
"As a result, thousands of sea lion pups starved. Decreases in commercial fishing harvests.",3,"[-0.01668922 -0.04288217 -0.00435108 ... -0.00105317  0.00883479
  0.02673504]","As a result, thousands of sea lion pups did not starve. There were no decreases in commercial fishing harvests."
"Since 1991, the incidence of Lyme disease in the United States has nearly doubled. Warmer temperatures also create conditions that help mosquitoes thrive.",3,"[-0.01984876 -0.00856031 -0.00111323 ...  0.00602617 -0.00028646
  0.00871187]","Since 1991, the incidence of Lyme disease in the United States has not nearly doubled. Warmer temperatures do not create conditions that help mosquitoes thrive."
A 2023 EPA report quantifies projected health effects to children from climate change.,3,"[-0.02327035 -0.00789163 -0.01373035 ...  0.00747501  0.01286089
  0.00931659]",A 2023 EPA report does not quantify projected health effects to children from climate change.
"Many socially vulnerable groups live in industrial or urban areas with high levels of air pollution.,18 In fact, Black and African Americans individuals are 34% more likely than non-Blacks to live in areas with the highest projected increases in childhood asthma due to climate-related changes in particulate matter.",3,"[ 0.0085945  -0.01532675 -0.00590527 ... -0.00868026  0.01880621
  0.01059151]","In addition, many groups of urban residents do not live with high levels of air pollution. Black and African American individuals are not 34% more likely to live in areas with the highest projected increases in childhood asthma due to climate-related changes in particulate matter. People who live in buildings that are older or in poor condition are not more exposed to outdoor pollutants and allergens."
"The energy system is an important source of employment for Americans, providing jobs for about 5. million people.",3,"[-0.01073777  0.02039493 -0.01089924 ...  0.02205931 -0.00712332
 -0.01388644]","The energy system is not an important source of employment for Americans, providing jobs for about 5. million people."
"Without preventive actions, deaths from such diseases, currently over 700 000 annually, may rise.",3,"[-1.64365135e-02  4.81249243e-02  9.10536692e-05 ... -3.28730270e-02
 -2.17796136e-02 -1.08203955e-03]","Without preventive actions, deaths from such diseases, currently over 700,000 annually, may not rise."
Irrigation accounts for 70% of all groundwater withdrawals nationwide. More infrastructure failures.,3,"[-0.02451812 -0.00867922 -0.0048872  ... -0.00050866 -0.014908
 -0.00445939]",Irrigation does not account for 70% of all groundwater withdrawals nationwide. Less infrastructure failures.
"When including the coast of the Great Lakes, more than 128 million people live in coastal counties.",3,"[ 0.0070628   0.00015105 -0.01012261 ...  0.00162313 -0.00043354
  0.01792021]","When including the coast of the Great Lakes, less than 128 million people live in coastal counties."
"About 85% of Americans live in metropolitan areas, and that number is projected to grow over the next 100 years.",3,"[-0.0119041   0.01395614 -0.02292389 ...  0.00780569 -0.01164334
  0.01620091]","About 85% of Americans do not live in metropolitan areas, and that number is not projected to grow over the next 100 years."
"More than 60,000 miles of roads and bridges are located in U.S. coastal floodplains.",3,"[-0.01950845  0.00383301 -0.00991615 ... -0.01610257  0.00599101
  0.0048492 ]","Less than 60,000 miles of roads and bridges are located in U.S. coastal floodplains."
Forests and woodlands cover more than 822 million acres of land in the United States—about 36% of the country’s total land.,3,"[ 0.04233141  0.02008671 -0.01198881 ... -0.00049454  0.00943302
  0.00325605]",Forests and woodlands do not cover more than 822 million acres of land in the United States—about 36% of the country’s total land.
Three key impacts of climate change are described in this section. A growing concentration of people live in the nation’s coastal areas.,3,"[-0.00723241 -0.01259168 -0.00559919 ...  0.00950446  0.01270731
  0.01913611]",Three key impacts of climate change are not described in this section. A growing concentration of people do not live in the nation’s coastal areas.
