Text,Textual Rating,Numerical Rating,Review Publisher,FactCheck URL,Claim Date,Claimant,Original article URL (Huimei and Samyak),Original text (Huimei and Samyak),Original article URL Notes (Huimei and Samyak),Notes for Video (Huimei and Samyak),errors
"Land use, farming have no meaningful climate impact",Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33LP6PR,2023-06-25T00:00:00Z,Elon Musk,https://web.archive.org/web/20230626151337/https:/twitter.com/elonmusk/status/1672793968587702272,Important to note that what happens on Earth’s surface (eg farming) has no meaningful impact on climate change.,.,,
Atmospheric CO2 level is negligible,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33GM2A2,2023-05-27T00:00:00Z,Alan Jones,https://www.instagram.com/p/CstPJIuLeF8/?utm_source=ig_embed&utm_campaign=embed_video_watch_again,"It's 0.04 percent, and of that 0.04 percent, human beings around the world create 3 percent.",video,00'15,
Extreme weather events have decreased in severity,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33BA2VZ,2023-03-12T00:00:00Z,Randall Carlson,https://ghostarchive.org/iarchive/instagram/therandallcarlson/3056529982932261796,What the evidence has overwhelmingly shown is that a lot of those events that we would think of as extreme climate or weather or meteorological events are actually declining in severity,video,,
Additional CO2 has boosted crop yields,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.339G4NM,2023-02-02T00:00:00Z,Heartland Institute,https://perma.cc/6DND-CCDE,"Longer growing seasons, higher temperatures, and greater concentrations of atmospheric carbon dioxide are creating ideal crop conditions.",.,,
Temperature graph is evidence against climate crisis,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.337E92M,2023-01-14T00:00:00Z,@ClimateThere,https://archive.ph/ETWRT#selection-643.18-643.151,How can anyone see this chart and seriously still be brainwashed into believing that we are at the end of days? It's very basic stuff,image,,
IPCC report indicates 2052 is more important than 2030 for climate action,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33798YV,2023-01-08T00:00:00Z,Reason magazine,https://ghostarchive.org/varchive/Kb3Tnmwx7Rc,"If you think the problem of global warming is higher temperatures, melting ice, rising sea levels, then you care about the datethe report projects actual temperatures will reach 1.5 degrees which is 2052 if things continue at the current rate.",video,07'27,
The Weather Channel debunked climate change on CNN,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.336G2RT,2022-12-30T00:00:00Z,Multiple Sources,https://www.youtube.com/watch?v=Aq3LS4BVSA0,My bottom line remains pretty skptical,video,05'19,
UK’s Oxfordshire County Council approves climate lockdown for 2024,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32ZT8QP,2022-12-05T00:00:00Z,Multiple sources,https://www.evernote.com/shard/s455/client/snv?isnewsnv=true&noteGuid=04ce546b-2960-436c-8bbb-8db07ead9347&noteKey=18cd2baf27fa4286a56917933d65ec1d&sn=https%3A%2F%2Fwww.evernote.com%2Fshard%2Fs455%2Fsh%2F04ce546b-2960-436c-8bbb-8db07ead9347%2F18cd2baf27fa4286a56917933d65ec1d&title=%25281%2529%2BFacebook,Oxfordshire County Council Pass Climate Lockdown 'trial' to Begin in 2024,image,,
"Climate, weather is being altered by technology such as HAARP, chemtrails",False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32XK3PR,2022-11-18T00:00:00Z,danthewatchman77,https://perma.cc/9TQA-ES2G?type=image,"The climate around is you being altered, affected, manipulated and changed to drive certain agendas",image,,
Joe Biden said there is no climate crisis,Missing context,0,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32NH647,2022-11-08T00:00:00Z,Real America's Voice,https://perma.cc/KZ8U-Q2J8,I know you all know there's no climate problem.,video,,
Human-made carbon dioxide emissions do not drive global warming,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32WY8ZD,2022-11-02T00:00:00Z,Multiple sources,https://archive.ph/E89dp,No one has ever shown that human emissions of carbon dioxide drive global warming -- never been shownNo one has ever shown that human emissions of carbon dioxide drive global warming -- never been shown.,video,,
EU nations exit from fossil fuel treaty and discard climate commitments,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32MH2PF-1,2022-10-22T00:00:00Z,Multiple sources,https://perma.cc/B2XM-465Q,EU nations are jumping ship on climate commitments as the #EnergyCrisis gets real and winter hits.,.,,
There is no link between hurricanes and climate change,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32KG2XM,2022-09-29T00:00:00Z,Multiple people,https://archive.ph/wUvqo,No trend in landfalling Florida hurricanes since 1903. Not in frequency. Not in intensity. Not in anything. Climate is a hoax.,.,,conflict with row48
No evidence of climate emergency,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32K66UE-1,2022-09-16T00:00:00Z,Advance Australia,https://archive.ph/SqOwT,No 'emergency' shown in cliamte records,image,,
"Climate change is caused by the sun and moon, not emissions",False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32JY77E-1,2022-09-09T00:00:00Z,Multiple people,https://web.archive.org/web/20220927135211/https://twitter.com/goodfoodgal/status/1568173044828631041?s=20&t=Ujxi6X38yDdVELtsY-xBjA,"Climate has always been changing, but this has nothing to do with man",video,,
"CNN published a headline saying ""climate change will be back next summer""",Altered,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32JG8R4,2022-09-07T00:00:00Z,Multiple people,https://archive.ph/L0Nbj#selection-645.0-645.33,.,image,,
Greenland studies show global warming is natural,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32KP6NR,2022-10-04T00:00:00Z,The Daily Sceptic,https://perma.cc/F83J-GBAD?type=image,Greenland ice has recovered since 2012 and the earlier loss was due to 'natural variability' not human CO2 emissions,.,,
World Climate Declaration says climate policy relies on inadequate models,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32HG6HR,2022-08-19T00:00:00Z,Clintel,https://perma.cc/7LQN-3K6F,"While some models projected less warming than we’ve experienced and some projected more, all showed surface temperature increases between 1970 and 2016 that were not too far off from what actually occurred, particularly when differences in assumed future emissions are taken into account.",.,,
CBC article says Trudeau blamed climate change for anger toward politicians,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32HR7E7,2022-08-31T00:00:00Z,Multiple,https://archive.ph/3i43N,Trudeau says climate change to blame for anger and resentment toward politicians.,image,,
"Global warming is natural, greenhouse effect small, no CO2 climate effect",False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32GX2YQ,2022-08-14T00:00:00Z,TalkTV,https://perma.cc/X7JP-CTJH?view-mode=client-side&type=image,"They should relax basically, simply because if they were to go and look at the natural history of the Earth, which has all been unravelled since these climate myths were created by the UN, they'd find that actually what is happening now is almost totally normal.",video,,
Tweet comparison showing Great Barrier Reef not affected by climate change,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32GA8XR,2022-08-04T00:00:00Z,Multiple people,https://archive.ph/DFntr,"""Time is running out for Great Barrier Reef, with climate change set to wreck irreversible damage by 2030: scientists."" vs. ""Two-thirds of the Great Barrier Reef in Australia recorded the highest amount of coral cover in nearly four decades.""",image,,
A 1954 heatwave in the US proves climate change is not happening,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32GK6R6,2022-07-28T00:00:00Z,Multiple people,https://archive.ph/zXeYt,"As hot as it is this summer, 1954 was so much worse",image,,
German media exaggerates heat and climate change through weather map colors,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32FV7W7,2022-07-22T00:00:00Z,Multiple people,https://archive.ph/PnHgp#selection-519.0-519.103,In case you do not believe you are trapped inside a global psychological warfare game then look at this,image,,
Only two states had record temperature in past 20 years,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32H34V8,2022-08-25T00:00:00Z,Lance Mills,https://perma.cc/5PEK-CFQF?view-mode=client-side&type=image,.,image,,
Sky News published an article that says vaccines can help fight climate change,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32FL9WL,2022-07-17T00:00:00Z,Multiple people,https://www.facebook.com/mary.ellarbymorris/posts/10225067286008401,Vaccines could be the way to battle the climate crises,image,,
Media changed weather map colors to exaggerate climate change,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32FF6BK,2022-07-17T00:00:00Z,Theo Okpo,https://perma.cc/22GX-C2WQ?view-mode=server-side&type=image,That's how manipulation works,image,,
"This photo shows litter left after climate march in Rotterdam, Netherlands",False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32EG28W,2022-06-21T00:00:00Z,Multiple sources,https://archive.vn/70KR7,在荷兰鹿特丹市中心荷兰人反对气候变化和地球污染的游行之后,image,,
Pacific islands are not threatened by climate change,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32F42UX,2022-07-18T00:00:00Z,Advance Australia,https://perma.cc/XF62-G7LZ?view-mode=server-side&type=image,The National Geographic says most islands in the Pacific and Indian oceans have remained stable or increased in size,.,,
Data disprove the effect of climate change on wildfires,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32DG6RJ,2022-06-14T00:00:00Z,Anthony Watts,https://perma.cc/4YS9-6KX6,New Data Absolutely Destroys Media Claims of ‘Climate Change is Causing More Wildfire’,.,,
A 1922 report disproves human-caused global warming,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.32EH2J7,2022-06-01T00:00:00Z,Multiple people,https://www.facebook.com/ken.derry.1/posts/1921316574926064,Within a few years it is predicted that due to the ice melt the sea will rise and make most coast cities uninhabitable,image,,
"New study about historical variations in Arctic region ""inconvenient fact"" for climate alarmists",Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.329J4RK,2022-04-11T00:00:00Z,Watts Up with That?,https://perma.cc/3Y72-7DU5?type=image,"Climate alarmists hate this inconvenient fact: hundreds of temperature reconstructions show that the northern hemisphere was much warmer over much of the past 10,000 years (Holocene) than it is today",.,,
IPCC found little to no evidence that climate was worse than before,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.327Q929,2022-03-11T00:00:00Z,Climate Change Dispatch,https://perma.cc/8MRQ-QADT,"Despite much hype, it found very little evidence that our climate was any worse than in the past.",.,,
Polar bear numbers are rising despite climate change,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.9XA2KJ,2022-01-11T00:00:00Z,Multiple people,https://perma.cc/3PAZ-4X5M,"Polar Bears shows polar bear populations have increased dramatically during recent decades as the planet has warmed, quadrupling since 1950s.",.,,
This map shows what the US will look like in 30 years because of climate change,False ,1,AFP Fact Check,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9R26B4-1,2021-10-28T00:00:00Z,Multiple Sources,https://archive.md/sh5RK,Scientists say this map represents the US in 30 years if we don't reverse climate change.,image,,
Justin Trudeau wore a kilt at the COP26 climate summit in Glasgow,False ,1,AFP Fact Check,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9QX89M-1,2021-10-29T00:00:00Z,Multiple people,https://archive.md/iuwVG,ANNNNNNNNDDDD Mr Dressup is at it again. Walking the streets of Glasgow.,video,,
Man-made CO2 is an insignificant contributor to climate change,Misleading,2,AFP Fact Check,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9NT3RW-3,2021-09-19T00:00:00Z,Multiple sources,https://perma.cc/2JZJ-C23Y?type=image,Man-made CO2 constitutes only 0.1 to 0.2% of atmospheric greenhouse gases. It is an insignificant contributor to global temperature and climate,image,,
There is no link between climate change and hurricanes,Misleading,2,AFP Fact Check,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MV3DZ,2021-09-08T00:00:00Z,Multiple people,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MV3DZ,"FLORIDA HAS HAD 119 HURRICANES SINCE 1850, BUT THE LAST ONE WAS DUE TO CLIMATE CHANGE",image,,conflict with row24
Biden climate plan will cut American meat consumption,False ,1,AFP Fact Check,https://factcheck.afp.com/bidens-climate-plan-does-not-target-us-meat-consumption,2021-04-23T00:00:00Z,Fox News,https://archive.is/aHJ96#selection-3021.0-3021.82,Joe Biden’s climate plan includes cutting 90% of red meat from our diets by 2030.,.,,
Social media posts share false claim about Indian climate activist Disha Ravi,False ,1,AFP Fact Check,https://factcheck.afp.com/social-media-posts-share-false-claim-about-indian-climate-activist-disha-ravi,,Multiple Sources,https://perma.cc/HQH6-YEY5,"The tool kit girl is being referred to as Disha Ravi by the media, her full name is Disha Ravi Joseph. What is the problem in calling her by her original name?",image,,
Ted Cruz wrote this tweet about climate change in 2016,False ,1,AFP Fact Check,https://factcheck.afp.com/fake-ted-cruz-climate-change-tweet-spreads-after-mexico-trip,2021-02-19T00:00:00Z,Multiple sources,https://perma.cc/H9E8-XZDR,I’ll believe in climate change when Texas freezes over,image,,
"Forest fires are caused by poor management, not by climate change",False ,1,AFP Fact Check,https://factcheck.afp.com/climate-change-key-factor-behind-california-wildfires,2020-09-09T00:00:00Z,Multiple sources,https://perma.cc/Z6BC-PGC5?type=image,.,.,,
Justin Trudeau banned voting rights for seniors over 85 because they don't care about climate change,False,1,AFP Fact Check,https://factcheck.afp.com/canadian-website-shared-false-trudeau-quote-satirical-article,2020-06-28T00:00:00Z,Cultural Action Party of Canada,https://archive.is/fe7pu,Trudeau lashes out against seniors that don’t agree with his world view,image,,
Photo of climate march protesters in Toronto,False,1,AFP Fact Check,https://factcheck.afp.com/photo-naples-used-discredit-toronto-climate-march-protesters,,Multiple sources,https://perma.cc/3HBF-UKH4,Pic from the Climate March #hypocrites ...as posted on: #WEIRD TORONTO FBPage !,image,,
NASA admits that climate change occurs because of changes in Earth’s solar orbit,False,1,AFP Fact Check,https://factcheck.afp.com/no-nasa-did-not-admit-changes-earths-solar-orbit-not-human-activity-causing-climate-change,2019-08-30T00:00:00Z,Natural News,https://web.archive.org/web/20191030155944/https:/www.naturalnews.com/2019-08-30-nasa-admits-climate-change-not-caused-by-suvs-fossil-fuels.html,.,.,,
"“Since 1961, Africa has witnessed a one-third reduction in agricultural productivity due to climate change.”",Correct,3,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
“Our national grid currently operates at 3 gigawatts …”,Correct,3,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
“Almost a billion [people] have no access to clean cooking energy.”,Correct,3,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
“It is not a secret that we [African countries] are paying at least five times as much as the advanced economies to borrow from financial markets.”,Correct,3,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
“… with 93% of that power being renewable.”,Incorrect,1,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,"with 92% of that power being renewable. 
 that power being renewable",.,,
"“Every year, Africa needs to generate approximately 30 million new jobs to accommodate its rapidly expanding workforce.”",Incorrect,1,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
“… 600 million Africans lack access to electricity.”,Correct,3,Africa Check,https://africacheck.org/fact-checks/reports/acs23-verifying-kenyan-president-william-rutos-claims-africas-first-climate,2023-09-01T12:00:00Z,Kenyan president William Ruto,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
"Posts on social media, perhaps as an attempted “gotcha” to those worried about climate change, claim an erupting volcano can put more carbon dioxide into Earth’s atmosphere in 24 hours than humans have in all of human existence. But this is false.",False,1,Africa Check,https://africacheck.org/fact-checks/meta-programme-fact-checks/no-volcanic-eruptions-dont-put-more-carbon-dioxide,2023-02-01T12:00:00Z,Twitter,https://www.president.go.ke/wp-content/uploads/AT-THE-OPENING-OF-THE-AFRICA-CLIMATE-SUMMIT-MINISTERIAL-CONFERENCE.pdf,.,.,,
"Disha Ravi, a 22-year-old climate activist, is a single mother",False,1,Alt News,https://www.altnews.in/times-now-misreports-22-year-old-activist-disha-ravi-is-a-single-mother/,2016-06-20T00:00:00Z,"Times Now, Ankit Jain,Pawan Durani, Jyoti Kapur Das, Chayan Chatterjee",https://twitter.com/govttrader/status/1613643531998105601,WE NEED ELECTRIC VOLCANOES.,,,
Climate change is a hoax created by the West to derail China's growth.,False,1,annie lab,https://annielab.org/2023/05/30/special-report-narratives-that-drive-climate-misinformation-in-china/,2022-10-27T00:00:00Z,'viral social media post',B66https://archive.is/eERM0,...manufactured the climate myth without any scientific integrity.,video,,
Climate change is a scam made to impede economic growth in the West (iterations of this claim blame it on China directly).,False,1,annie lab,https://annielab.org/2023/05/30/special-report-narratives-that-drive-climate-misinformation-in-china/,2012-11-06T00:00:00Z,viral social media post,https://www.sanmin.com.tw/product/index/001262457,...它是發達國家打擊、遏制發展中國家，維護自身地位的利器,.,,
Greta Thunberg has gained weight,False,1,annie lab,https://annielab.org/2023/05/30/special-report-narratives-that-drive-climate-misinformation-in-china/,2022-07-25T00:00:00Z,viral social media post,https://archive.ph/MhMPr#selection-631.0-628.9,環保真係咁好搵？有日本網民發現，當年嘅環保少女已經變成咗蓬佩奧,image,,
Warmer temperature will bring prosperity to China in the similar way it did under some dynasties,False,1,annie lab,https://annielab.org/2023/05/30/special-report-narratives-that-drive-climate-misinformation-in-china/,2021-08-09T00:00:00Z,viral social media post,https://archive.is/J8f3o#selection-745.0-745.30,国家完蛋不一定是因为气温下降，但气温下降一定会导致国家完蛋。,.,,
Greta Thunberg said the Chinese should stop using chopsticks,False,1,annie lab,https://annielab.org/2023/05/30/special-report-narratives-that-drive-climate-misinformation-in-china/,2023-02-03T00:00:00Z,viral social media post,https://archive.is/o1eyV#selection-299.0-299.31,那个呼吁中国人“放弃筷子”，改用刀叉的17岁瑞典公主，现状如何,.,,
"A study showed that the decrease in death and property loss risk reflects less threats from natural disasters, and thus climate change in general.",Misleading,2,annie lab,https://annielab.org/2022/01/05/investigation-misleading-blog-in-germany-fuels-global-climate-change-misinformation/,2021-04-15T00:00:00Z,NoTricksZone,https://web.archive.org/web/20210816014307/https://notrickszone.com/2021/04/15/new-study-crushes-ipcc-alarm-hails-a-22-global-decline-in-natural-disaster-death-risk-since-1990s/,,.,,
Antarctica is cooling and sea ice extent has been increasing for over 40 years.,Misleading,2,annie lab,https://annielab.org/2022/01/05/investigation-misleading-blog-in-germany-fuels-global-climate-change-misinformation/,2021-09-27T00:00:00Z,No Tricks Zone,https://web.archive.org/web/20210816014307/https://notrickszone.com/2021/04/15/new-study-crushes-ipcc-alarm-hails-a-22-global-decline-in-natural-disaster-death-risk-since-1990s/,Data that show a global decrease in the natural disaster threat from climate change may not support the alarming anthropogenic global warming (AGW) narrative conjured up by policy makers and activists.,.,,
Reduced aerosol pollution had greater effects on global warming than increasing CO2 emissions,Misleading,2,annie lab,https://annielab.org/2022/01/05/investigation-misleading-blog-in-germany-fuels-global-climate-change-misinformation/,2021-06-17T00:00:00Z,NoTricksZone,https://www.nature.com/articles/s43247-021-00110-0,"many regions of the world are more strongly polluted than Western Europe, and larger regional effects of aerosol reductions on irradiance from COVID-19 lockdowns are already being documented",.,,
A rise in atmospheric CO2 levels despite a drop in carbon emissions implies a lack of quantifiable effect human activities have on the environment.,Misleading,2,annie lab,https://annielab.org/2022/01/05/investigation-misleading-blog-in-germany-fuels-global-climate-change-misinformation/,2021-06-17T00:00:00Z,NoTricksZone,https://archive.is/20211216082808/https://notrickszone.com/2021/06/17/new-study-inadvertently-slays-the-narrative-emissions-reductions-from-lockdowns-added-warming/,New Study Inadvertently Slays The Narrative: Emissions Reductions From Lockdowns Added WARMING!,.,,
The term global warming was changed to climate change because the earth wasn’t warming as predicted.,False,1,Australian Associated Press,https://www.aap.com.au/factcheck/mish-mash-of-misinformation-gives-climate-change-a-bad-name/,2022-11-14T00:00:00Z,A Facebook user,https://www-media.aap.com.au/wp-content/uploads/2023/08/22094657/WarmingName.png,‘Climate change’ is a theory that started out being called Anthropogenic Global Warming.,.,,
Earth hasn’t warmed since the mid-1980s and has only warmed by 0.7C since the 1850s.,False,1,Australian Associated Press,https://www.aap.com.au/factcheck/global-temperature-data-leaves-climate-sceptic-out-in-the-cold/,2022-08-03T00:00:00Z,Ian Plimer,https://www.youtube.com/watch?v=EPzzoHIyQ6I,"If you started measuring 38 years ago, there’s been no change.",video,,
The second law of thermodynamics shows man-made global warming is impossible.,False,1,Australian Associated Press,https://www.aap.com.au/factcheck/climate-sceptics-on-wrong-side-of-thermodynamics-law/,2023-03-21T00:00:00Z,Facebook posts,https://www.facebook.com/jimmy.sims.33/posts/pfbid02UvAtBGwCSfKpDKfanPv5TNqHp2fg8v2EXa6PXogVqQ9SMAfS81Ybtcg5QsncBSDdl,"Third, the 2nd Law of Thermodynamics. Heat only moves from hotter to cooler, period.",.,,
Temperatures in Australia have cooled over the last 100 years.,False,1,Australian Associated Press,https://www.aap.com.au/factcheck/climate-claim-boms-in-attempt-to-rewrite-temperature-history/,2023-01-17T00:00:00Z,A Facebook post,https://www.facebook.com/Astroboy2001/posts/pfbid02LqjFrqXhPJ6w1mzxfkQpGQ88u4onSUGEqvHc7yacCuZHTRAUFVCuLMXATNc7qfppl,These records go back to early 1920,image,,
"Recent global warming is comparable with natural rates of climate change over the past 10,000 years.",False,1,Australian Associated Press,https://www.aap.com.au/factcheck/climate-facts-post-is-a-meltdown-of-misinformation/,2023-01-04T00:00:00Z,A Facebook post,https://www.facebook.com/groups/108655705888371/posts/5757187141035171/,"The late 20th Century AGT rise was at a rate of 1-2ºC/century, which lies well within natural rates of climate change for the last 10,000 yr.",.,,
"Solar cycles are driving climate change, not the greenhouse effect.",False,1,Australian Associated Press,https://www.aap.com.au/factcheck/snowballs-chance-in-hell-the-sun-is-causing-climate-change/,2022-12-15T00:00:00Z,A Facebook post,https://www.facebook.com/RichardsonPost/posts/pfbid02XkNLDfKb3bne6thYnR7dWxB6hSqUkwwFP47Suw9vv1Vn9bZoJhD1aVUJtN8HVRm9l,Is climate change causing summer snow in Victoria and record winter cold in Europe? A more plausible explanation would be solar cooling.,.,,
A respected US academic has downplayed the impact of global warming and suggested it may benefit civilisation.,Misleading,2,Australian Associated Press,https://www.aap.com.au/factcheck/selective-editing-distorts-experts-climate-change-views/,2023-01-11T00:00:00Z,An Instagram post,https://www-media.aap.com.au/wp-content/uploads/2023/01/20120211/ClimateToon.png,In most of the history of the earth it’s been a lot warmer than it is now and a lot warmer than it could be in the next century.,video,,
The planet has been in a period of global cooling since 2015.,Misleading,2,Australian Associated Press,https://www.aap.com.au/factcheck/scientists-roast-climate-denier-on-cooling-claim/,2023-01-13T00:00:00Z,Social media posts.,https://twitter.com/JunkScience/status/1613724250011242497,Last 8 years... global cooling,image,,
